Ultrasonic Distance1 (cm),Ultrasonic Distance2 (cm),Ultrasonic Distance3 (cm),Ultrasonic Distance4 (cm),Ultrasonic Distance5 (cm),Ultrasonic Distance6 (cm)
223.118408203125,0.0,,,,
223.60000610351562,0.0,,,,
223.15280151367188,0.0,,,,
27.606000900268555,0.0,,,,
112.72880554199219,0.0,,,,
12.79680061340332,0.0,,,,
10.61240005493164,0.0,,,,
5.710400104522705,0.0,,,,
8.823600769042969,0.0,,,,
110.80240631103516,0.0,,,,
112.07520294189453,0.0,,,,
0.7912000417709351,0.0,,,,
12.005599975585938,0.0,,,,
112.17840576171875,0.0,,,,
12.418400764465332,0.0,,,,
1185.802490234375,0.0,,,,
111.30120086669922,0.0,,,,
1185.510009765625,0.0,,,,
223.56561279296875,0.0,,,,
19.986400604248047,0.0,,,,
19.16080093383789,0.0,,,,
19.401599884033203,0.0,,,,
19.79720115661621,0.0,,,,
20.21000099182129,0.0,,,,
19.64240074157715,0.0,,,,
20.227201461791992,0.0,,,,
19.900400161743164,0.0,,,,
20.261600494384766,0.0,,,,
20.691600799560547,0.0,,,,
20.261600494384766,0.0,,,,
19.212400436401367,0.0,,,,
19.16080093383789,0.0,,,,
19.556400299072266,0.0,,,,
19.50480079650879,0.0,,,,
19.64240074157715,0.0,,,,
19.969200134277344,0.0,,,,
19.522001266479492,0.0,,,,
19.57360076904297,0.0,,,,
19.900400161743164,0.0,,,,
20.64000129699707,0.0,,,,
222.98080444335938,0.0,,,,
21.104400634765625,0.0,,,,
21.48280143737793,0.0,,,,
223.4108123779297,0.0,,,,
223.118408203125,0.0,,,,
24.95720100402832,0.0,,,,
223.0152130126953,0.0,,,,
223.4108123779297,0.0,,,,
223.54840087890625,0.0,,,,
223.03240966796875,0.0,,,,
223.10121154785156,0.0,,,,
1186.0948486328125,0.0,,,,
223.10121154785156,0.0,,,,
223.10121154785156,0.0,,,,
223.56561279296875,0.0,,,,
223.30760192871094,0.0,,,,
223.13560485839844,0.0,,,,
223.10121154785156,0.0,,,,
223.56561279296875,0.0,,,,
223.4108123779297,0.0,,,,
223.08401489257812,0.0,,,,
222.9980010986328,0.0,,,,
223.118408203125,0.0,,,,
223.4108123779297,0.0,,,,
223.54840087890625,0.0,,,,
223.118408203125,0.0,,,,
223.44520568847656,0.0,,,,
223.4108123779297,0.0,,,,
222.9980010986328,0.0,,,,
223.13560485839844,0.0,,,,
223.118408203125,0.0,,,,
223.3936004638672,0.0,,,,
223.13560485839844,0.0,,,,
223.13560485839844,0.0,,,,
223.56561279296875,0.0,,,,
223.7548065185547,0.0,,,,
223.118408203125,0.0,,,,
223.13560485839844,0.0,,,,
223.03240966796875,0.0,,,,
223.4108123779297,0.0,,,,
11.025200843811035,0.0,,,,
2.752000093460083,0.0,,,,
3.9732000827789307,0.0,,,,
3.23360013961792,0.0,,,,
2.8208000659942627,0.0,,,,
